,age,education,marital-status,race,income,occupation
520,38,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
521,50,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
523,37,Some-college,Married-civ-spouse,White,>50K,Tech-support
524,44,Some-college,Divorced,White,>50K,Machine-op-inspct
526,42,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
533,41,Assoc-acdm,Married-civ-spouse,White,>50K,Exec-managerial
534,67,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
554,33,Assoc-voc,Divorced,Black,>50K,Craft-repair
561,54,Bachelors,Married-civ-spouse,White,>50K,Sales
562,47,Some-college,Married-civ-spouse,White,>50K,Prof-specialty
564,52,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
573,37,Assoc-voc,Married-civ-spouse,White,>50K,Craft-repair
575,29,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
580,65,Some-college,Married-civ-spouse,White,>50K,?
581,57,HS-grad,Married-civ-spouse,White,>50K,Sales
588,52,10th,Married-civ-spouse,White,>50K,Craft-repair
592,60,7th-8th,Never-married,White,>50K,Transport-moving
593,31,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
597,42,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
606,51,Masters,Married-civ-spouse,White,>50K,Craft-repair
619,46,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
626,34,HS-grad,Married-civ-spouse,White,>50K,Sales
628,33,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
629,49,Bachelors,Married-civ-spouse,White,>50K,Sales
632,43,Some-college,Married-civ-spouse,White,>50K,Craft-repair
633,30,Bachelors,Married-civ-spouse,Black,>50K,Adm-clerical
637,33,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
639,52,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
643,36,Some-college,Married-civ-spouse,White,>50K,Sales
645,50,Doctorate,Separated,White,>50K,Prof-specialty
649,30,Bachelors,Married-civ-spouse,White,>50K,Tech-support
652,35,Doctorate,Married-civ-spouse,Asian-Pac-Islander,>50K,Prof-specialty
659,43,HS-grad,Married-civ-spouse,White,>50K,Machine-op-inspct
660,44,12th,Married-civ-spouse,Black,>50K,Handlers-cleaners
665,42,Assoc-acdm,Divorced,White,>50K,Prof-specialty
667,42,HS-grad,Married-civ-spouse,Black,>50K,Craft-repair
673,33,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
674,50,HS-grad,Married-civ-spouse,White,>50K,Sales
681,37,Assoc-voc,Married-civ-spouse,White,>50K,Craft-repair
682,34,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
696,35,Masters,Never-married,White,>50K,Prof-specialty
697,31,Masters,Married-civ-spouse,White,>50K,Tech-support
704,46,Doctorate,Divorced,White,>50K,Prof-specialty
705,44,Bachelors,Divorced,White,>50K,Exec-managerial
719,34,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
723,50,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
724,42,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
725,43,Bachelors,Never-married,White,>50K,Prof-specialty
729,65,11th,Married-civ-spouse,White,>50K,Exec-managerial
739,42,Bachelors,Married-civ-spouse,White,>50K,Tech-support
742,42,Masters,Never-married,White,>50K,Exec-managerial
745,42,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
746,55,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
750,29,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
756,54,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
758,46,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
761,59,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
763,53,Doctorate,Married-civ-spouse,White,>50K,Exec-managerial
764,51,Bachelors,Never-married,White,>50K,Sales
773,37,Assoc-voc,Married-civ-spouse,White,>50K,Tech-support
778,43,Bachelors,Married-civ-spouse,White,>50K,Sales
782,40,Assoc-voc,Married-civ-spouse,White,>50K,Exec-managerial
784,40,Bachelors,Never-married,Other,>50K,Sales
790,48,Assoc-voc,Married-civ-spouse,White,>50K,Tech-support
794,60,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
798,46,Masters,Never-married,White,>50K,Tech-support
799,43,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
805,32,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
807,33,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
808,64,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
817,56,Some-college,Married-civ-spouse,White,>50K,Craft-repair
819,47,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
825,57,HS-grad,Widowed,White,>50K,Transport-moving
831,53,Some-college,Married-civ-spouse,White,>50K,Adm-clerical
837,41,Bachelors,Divorced,White,>50K,Prof-specialty
842,51,Some-college,Married-civ-spouse,White,>50K,Prof-specialty
844,55,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
847,37,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
850,61,Masters,Widowed,White,>50K,Prof-specialty
854,48,Doctorate,Divorced,White,>50K,Prof-specialty
857,59,HS-grad,Married-civ-spouse,White,>50K,Other-service
859,49,Bachelors,Never-married,White,>50K,Exec-managerial
868,39,Some-college,Married-civ-spouse,White,>50K,Farming-fishing
870,44,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
872,71,Masters,Married-civ-spouse,White,>50K,Sales
873,51,Bachelors,Married-civ-spouse,Asian-Pac-Islander,>50K,Sales
875,41,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
878,39,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
881,32,Bachelors,Married-civ-spouse,White,>50K,Adm-clerical
883,38,Bachelors,Married-civ-spouse,White,>50K,Sales
893,37,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
894,42,Prof-school,Married-civ-spouse,White,>50K,Farming-fishing
898,30,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
915,39,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
917,67,HS-grad,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
927,51,Masters,Married-civ-spouse,White,>50K,Exec-managerial
934,37,11th,Married-civ-spouse,White,>50K,Machine-op-inspct
935,37,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
937,41,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
939,31,Bachelors,Never-married,White,>50K,Sales
942,38,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
947,36,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
950,44,HS-grad,Married-civ-spouse,White,>50K,Prof-specialty
951,43,Masters,Married-civ-spouse,White,>50K,Exec-managerial
956,44,Some-college,Married-civ-spouse,White,>50K,Sales
958,33,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
959,42,Assoc-acdm,Married-civ-spouse,White,>50K,Exec-managerial
966,35,Some-college,Married-civ-spouse,White,>50K,Sales
968,48,Bachelors,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
970,34,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
972,67,Bachelors,Widowed,White,>50K,Exec-managerial
977,40,Masters,Married-civ-spouse,White,>50K,Prof-specialty
984,45,HS-grad,Widowed,White,>50K,Protective-serv
993,47,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
995,56,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
997,48,Bachelors,Divorced,White,>50K,Exec-managerial
999,39,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1001,50,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
1002,38,HS-grad,Married-civ-spouse,White,>50K,Prof-specialty
1007,39,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1008,54,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
1012,50,HS-grad,Married-civ-spouse,White,>50K,Machine-op-inspct
1013,42,Some-college,Married-civ-spouse,White,>50K,Prof-specialty
1016,33,Assoc-voc,Married-civ-spouse,White,>50K,Tech-support
1021,48,Masters,Married-civ-spouse,White,>50K,Prof-specialty
1027,45,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1043,44,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1049,36,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1051,53,Bachelors,Married-civ-spouse,White,>50K,Sales
1052,30,Bachelors,Married-civ-spouse,White,>50K,Adm-clerical
1053,52,Some-college,Married-civ-spouse,White,>50K,Sales
1058,49,Masters,Married-civ-spouse,White,>50K,Prof-specialty
1059,45,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
1064,49,Some-college,Married-civ-spouse,White,>50K,Sales
1066,35,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
1071,38,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
1072,37,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
1073,48,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
1079,43,Assoc-voc,Married-civ-spouse,White,>50K,Prof-specialty
1083,41,Some-college,Married-civ-spouse,White,>50K,Protective-serv
1088,42,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
1090,41,Assoc-acdm,Married-civ-spouse,White,>50K,Prof-specialty
1091,44,Bachelors,Never-married,White,>50K,Sales
1098,29,HS-grad,Married-civ-spouse,White,>50K,Sales
1101,45,Bachelors,Married-civ-spouse,White,>50K,Machine-op-inspct
1104,34,Assoc-acdm,Married-civ-spouse,White,>50K,Prof-specialty
1108,41,Bachelors,Married-civ-spouse,White,>50K,Craft-repair
1110,35,Masters,Married-civ-spouse,White,>50K,Sales
1111,33,Bachelors,Married-civ-spouse,White,>50K,Sales
1115,60,Assoc-voc,Married-civ-spouse,White,>50K,Machine-op-inspct
1118,58,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1126,35,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
1135,31,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
1136,46,Masters,Married-civ-spouse,White,>50K,Exec-managerial
1137,35,HS-grad,Married-civ-spouse,Black,>50K,Adm-clerical
1145,33,Masters,Married-civ-spouse,White,>50K,Prof-specialty
1148,61,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1149,50,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1156,46,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1157,28,Masters,Married-civ-spouse,White,>50K,Prof-specialty
1162,33,Bachelors,Married-civ-spouse,White,>50K,Sales
1163,54,Assoc-acdm,Married-civ-spouse,White,>50K,Tech-support
1164,50,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1166,65,Bachelors,Married-civ-spouse,White,>50K,Adm-clerical
1172,25,Masters,Married-civ-spouse,White,>50K,Farming-fishing
1175,58,Some-college,Married-civ-spouse,White,>50K,?
1177,50,HS-grad,Married-civ-spouse,White,>50K,Prof-specialty
1180,50,HS-grad,Married-civ-spouse,White,>50K,?
1181,40,Bachelors,Divorced,White,>50K,Exec-managerial
1191,48,Some-college,Married-civ-spouse,White,>50K,Craft-repair
1200,45,HS-grad,Married-civ-spouse,Black,>50K,Adm-clerical
1201,30,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1203,44,Bachelors,Never-married,White,>50K,Other-service
1205,61,Masters,Married-civ-spouse,White,>50K,Sales
1207,38,Bachelors,Married-civ-spouse,White,>50K,Sales
1210,44,Some-college,Married-civ-spouse,White,>50K,Sales
1213,54,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
1215,63,Bachelors,Widowed,White,>50K,?
1216,48,Some-college,Married-civ-spouse,Amer-Indian-Eskimo,>50K,Craft-repair
1219,38,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
1220,45,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
1224,38,Masters,Married-civ-spouse,White,>50K,Transport-moving
1226,36,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1230,46,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1240,35,Masters,Never-married,White,>50K,Prof-specialty
1243,65,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1246,54,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
1250,51,Masters,Married-civ-spouse,White,>50K,Exec-managerial
1257,57,HS-grad,Married-civ-spouse,White,>50K,Sales
1258,43,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1261,53,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
1266,38,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1275,51,Bachelors,Married-civ-spouse,White,>50K,Adm-clerical
1276,46,Bachelors,Married-civ-spouse,White,>50K,Sales
1277,67,Bachelors,Married-civ-spouse,White,>50K,Protective-serv
1281,42,Assoc-acdm,Divorced,Asian-Pac-Islander,>50K,Prof-specialty
1282,65,HS-grad,Married-civ-spouse,White,>50K,?
1284,50,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
1286,47,Bachelors,Married-civ-spouse,White,>50K,Sales
1302,58,Some-college,Married-civ-spouse,White,>50K,Transport-moving
1305,37,Bachelors,Married-civ-spouse,White,>50K,Machine-op-inspct
1309,49,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
1314,32,Some-college,Married-civ-spouse,White,>50K,Handlers-cleaners
1316,35,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
1318,41,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1319,48,Bachelors,Married-civ-spouse,White,>50K,Craft-repair
1322,27,HS-grad,Never-married,White,>50K,Sales
1323,55,Some-college,Married-civ-spouse,White,>50K,Transport-moving
1324,39,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
1327,52,HS-grad,Widowed,Asian-Pac-Islander,>50K,Other-service
1334,51,Assoc-voc,Married-civ-spouse,White,>50K,Prof-specialty
1337,40,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1346,61,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1348,36,Bachelors,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
1350,34,Some-college,Never-married,White,>50K,Prof-specialty
1351,32,Bachelors,Married-civ-spouse,White,>50K,Craft-repair
1355,61,HS-grad,Married-civ-spouse,White,>50K,Farming-fishing
1361,52,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
1368,52,HS-grad,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
1378,65,Masters,Married-civ-spouse,White,>50K,Sales
1387,40,Some-college,Divorced,White,>50K,Exec-managerial
1391,40,7th-8th,Married-civ-spouse,Black,>50K,Craft-repair
1395,42,10th,Never-married,White,>50K,Transport-moving
1399,50,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
1405,24,HS-grad,Married-civ-spouse,White,>50K,Other-service
1407,39,Assoc-acdm,Married-civ-spouse,White,>50K,Craft-repair
1412,39,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1413,53,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
1417,31,Bachelors,Married-civ-spouse,Black,>50K,Sales
1418,31,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1426,45,Bachelors,Married-civ-spouse,White,>50K,Farming-fishing
1429,57,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
1432,32,Assoc-voc,Divorced,White,>50K,Sales
1437,36,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
1439,47,HS-grad,Married-civ-spouse,White,>50K,Sales
1442,36,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1444,56,HS-grad,Married-civ-spouse,White,>50K,Other-service
1448,51,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
1449,44,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
1453,49,Masters,Married-civ-spouse,White,>50K,Exec-managerial
1454,46,HS-grad,Married-civ-spouse,Black,>50K,Craft-repair
1459,41,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
1460,48,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1462,30,Some-college,Never-married,White,>50K,Craft-repair
1463,39,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
1469,40,Assoc-acdm,Married-civ-spouse,White,>50K,Prof-specialty
1470,61,Prof-school,Married-civ-spouse,White,>50K,Transport-moving
1481,58,Assoc-voc,Married-civ-spouse,White,>50K,Craft-repair
1482,53,HS-grad,Married-civ-spouse,White,>50K,Sales
1484,43,Bachelors,Married-civ-spouse,Black,>50K,Prof-specialty
1489,37,Masters,Divorced,White,>50K,Exec-managerial
1492,45,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
1493,53,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
1495,28,11th,Married-civ-spouse,White,>50K,Craft-repair
1496,32,11th,Divorced,White,>50K,Sales
1498,36,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
1500,37,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1503,64,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1511,30,Assoc-voc,Married-civ-spouse,White,>50K,Prof-specialty
1512,37,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1514,59,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1516,46,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
1528,52,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1531,40,10th,Married-civ-spouse,White,>50K,Machine-op-inspct
1532,48,Masters,Divorced,White,>50K,Exec-managerial
1533,49,10th,Married-civ-spouse,Black,>50K,Transport-moving
1548,41,Some-college,Married-civ-spouse,White,>50K,Craft-repair
1554,62,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
1562,75,Bachelors,Widowed,White,>50K,?
1571,44,Assoc-acdm,Married-civ-spouse,White,>50K,Craft-repair
1580,26,HS-grad,Married-civ-spouse,White,>50K,Sales
1583,39,HS-grad,Divorced,White,>50K,Adm-clerical
1585,40,Some-college,Married-civ-spouse,White,>50K,Craft-repair
1593,55,Masters,Married-civ-spouse,White,>50K,Prof-specialty
1595,33,HS-grad,Never-married,White,>50K,Prof-specialty
1603,57,HS-grad,Married-civ-spouse,Black,>50K,Machine-op-inspct
1611,36,Assoc-acdm,Married-civ-spouse,White,>50K,Prof-specialty
1612,45,Masters,Married-civ-spouse,White,>50K,Prof-specialty
1613,54,HS-grad,Married-civ-spouse,White,>50K,Machine-op-inspct
1615,60,HS-grad,Married-civ-spouse,White,>50K,Prof-specialty
1616,46,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
1620,48,Some-college,Married-civ-spouse,White,>50K,Sales
1621,44,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1625,61,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
1627,52,Bachelors,Married-civ-spouse,White,>50K,Sales
1632,40,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
1635,57,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
1638,34,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1639,54,HS-grad,Married-civ-spouse,White,>50K,Machine-op-inspct
1641,42,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1642,48,Masters,Married-civ-spouse,White,>50K,Prof-specialty
1643,65,Masters,Married-civ-spouse,White,>50K,Prof-specialty
1645,71,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
1648,35,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1654,41,HS-grad,Married-civ-spouse,Black,>50K,Craft-repair
1655,44,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
1661,44,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1666,50,Some-college,Married-civ-spouse,White,>50K,Sales
1669,46,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
1670,44,Assoc-acdm,Married-civ-spouse,White,>50K,Sales
1674,47,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
1676,64,HS-grad,Married-civ-spouse,White,>50K,?
1682,43,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
1685,37,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
1687,37,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
