,age,education,marital-status,race,income,occupation
73,23,Some-college,Never-married,White,<=50K,Machine-op-inspct
74,79,Some-college,Married-civ-spouse,White,<=50K,Prof-specialty
75,27,HS-grad,Never-married,White,<=50K,Other-service
76,40,Assoc-acdm,Married-civ-spouse,White,<=50K,Adm-clerical
77,67,10th,Married-civ-spouse,White,<=50K,?
78,18,11th,Never-married,White,<=50K,Other-service
79,31,7th-8th,Married-civ-spouse,White,<=50K,Farming-fishing
80,18,HS-grad,Never-married,White,<=50K,Sales
81,52,Bachelors,Married-civ-spouse,White,<=50K,Other-service
82,46,HS-grad,Married-civ-spouse,White,<=50K,Other-service
83,59,HS-grad,Married-civ-spouse,White,<=50K,Sales
84,44,HS-grad,Divorced,White,>50K,Craft-repair
85,53,HS-grad,Divorced,White,<=50K,Sales
86,49,HS-grad,Married-civ-spouse,White,>50K,Protective-serv
87,33,Masters,Married-civ-spouse,White,<=50K,Prof-specialty
88,30,9th,Never-married,White,<=50K,Sales
89,43,Doctorate,Never-married,White,>50K,Prof-specialty
90,57,Assoc-voc,Married-civ-spouse,White,<=50K,Prof-specialty
91,37,Some-college,Divorced,White,<=50K,Craft-repair
92,28,Some-college,Divorced,Black,<=50K,Machine-op-inspct
93,30,HS-grad,Married-civ-spouse,Asian-Pac-Islander,<=50K,Sales
94,34,Bachelors,Married-civ-spouse,White,>50K,Protective-serv
95,29,Some-college,Never-married,White,<=50K,Handlers-cleaners
96,48,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
97,37,Some-college,Married-civ-spouse,White,>50K,Sales
98,48,Assoc-acdm,Divorced,White,<=50K,Exec-managerial
99,32,HS-grad,Never-married,Black,<=50K,Other-service
100,76,Masters,Married-civ-spouse,White,>50K,Exec-managerial
101,44,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
102,47,Masters,Never-married,White,<=50K,Prof-specialty
103,20,Some-college,Never-married,White,<=50K,Tech-support
104,29,HS-grad,Never-married,White,<=50K,Craft-repair
105,32,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
106,17,10th,Never-married,White,<=50K,?
107,30,11th,Never-married,White,<=50K,Handlers-cleaners
108,31,HS-grad,Never-married,White,<=50K,Adm-clerical
109,42,HS-grad,Married-civ-spouse,White,<=50K,Handlers-cleaners
110,24,Bachelors,Never-married,White,<=50K,Sales
111,38,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
112,56,HS-grad,Married-civ-spouse,White,>50K,Other-service
113,28,Some-college,Married-civ-spouse,White,<=50K,Sales
114,36,HS-grad,Never-married,White,<=50K,Machine-op-inspct
115,53,9th,Married-civ-spouse,White,<=50K,Handlers-cleaners
116,56,Some-college,Married-civ-spouse,White,<=50K,Sales
117,49,Assoc-voc,Married-civ-spouse,Black,>50K,Craft-repair
118,55,Some-college,Married-civ-spouse,White,<=50K,Sales
119,22,HS-grad,Never-married,White,<=50K,Craft-repair
120,21,Some-college,Never-married,White,<=50K,Other-service
121,40,Bachelors,Married-civ-spouse,White,<=50K,Exec-managerial
122,30,Bachelors,Never-married,Black,<=50K,Exec-managerial
123,29,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
124,19,Some-college,Never-married,Black,<=50K,Other-service
125,47,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
126,20,Some-college,Never-married,White,<=50K,Adm-clerical
127,31,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
128,35,HS-grad,Married-civ-spouse,White,<=50K,?
129,39,Some-college,Divorced,White,<=50K,Craft-repair
130,28,Assoc-acdm,Never-married,White,<=50K,Sales
131,24,HS-grad,Never-married,White,<=50K,Other-service
132,38,HS-grad,Married-civ-spouse,White,<=50K,Craft-repair
133,37,Bachelors,Married-civ-spouse,White,<=50K,Sales
134,46,Assoc-acdm,Divorced,Black,<=50K,Tech-support
135,38,Masters,Married-civ-spouse,White,>50K,Prof-specialty
136,43,HS-grad,Married-civ-spouse,White,<=50K,Craft-repair
137,27,Assoc-voc,Married-civ-spouse,White,<=50K,Adm-clerical
138,20,Some-college,Never-married,White,<=50K,Sales
139,49,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,Craft-repair
140,61,HS-grad,Married-civ-spouse,White,<=50K,Craft-repair
141,27,Some-college,Never-married,White,<=50K,Sales
142,19,Some-college,Never-married,White,<=50K,Other-service
143,45,Assoc-voc,Never-married,White,>50K,Prof-specialty
144,70,Some-college,Never-married,White,<=50K,Tech-support
145,31,HS-grad,Never-married,Black,<=50K,Transport-moving
146,22,Some-college,Married-civ-spouse,White,<=50K,Other-service
147,36,HS-grad,Widowed,White,<=50K,Other-service
148,64,11th,Married-civ-spouse,White,<=50K,Craft-repair
149,43,Some-college,Divorced,White,<=50K,?
150,47,Some-college,Divorced,White,<=50K,Adm-clerical
151,34,HS-grad,Never-married,White,<=50K,Adm-clerical
152,33,Bachelors,Never-married,Asian-Pac-Islander,<=50K,Exec-managerial
153,21,HS-grad,Never-married,White,<=50K,Craft-repair
154,52,HS-grad,Divorced,White,>50K,?
155,48,HS-grad,Married-civ-spouse,White,<=50K,Craft-repair
156,23,Bachelors,Never-married,White,<=50K,Handlers-cleaners
157,71,Some-college,Separated,Black,<=50K,Sales
158,29,HS-grad,Divorced,White,<=50K,Craft-repair
159,42,Bachelors,Separated,Black,<=50K,Other-service
160,68,1st-4th,Divorced,White,<=50K,?
161,25,HS-grad,Never-married,White,<=50K,Other-service
162,44,Masters,Divorced,Asian-Pac-Islander,<=50K,Exec-managerial
163,28,HS-grad,Never-married,Asian-Pac-Islander,<=50K,Exec-managerial
164,45,Masters,Married-civ-spouse,White,>50K,Sales
165,36,Some-college,Divorced,White,<=50K,Other-service
166,39,Assoc-acdm,Never-married,White,<=50K,Exec-managerial
167,46,Masters,Widowed,White,<=50K,Protective-serv
168,18,11th,Never-married,White,<=50K,Handlers-cleaners
169,66,Assoc-voc,Widowed,White,<=50K,Prof-specialty
170,27,HS-grad,Never-married,White,<=50K,Other-service
171,28,HS-grad,Married-civ-spouse,White,<=50K,Protective-serv
172,51,Some-college,Married-civ-spouse,White,>50K,Sales
173,27,Bachelors,Never-married,White,<=50K,Craft-repair
174,28,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
175,27,HS-grad,Married-spouse-absent,White,<=50K,Sales
176,21,HS-grad,Never-married,Black,<=50K,Craft-repair
177,34,HS-grad,Never-married,Black,<=50K,Handlers-cleaners
178,18,HS-grad,Never-married,White,<=50K,Other-service
179,33,Bachelors,Married-civ-spouse,White,<=50K,Prof-specialty
180,44,Some-college,Married-civ-spouse,Black,>50K,Exec-managerial
181,43,Some-college,Divorced,White,<=50K,Adm-clerical
182,30,Some-college,Never-married,Black,<=50K,Craft-repair
183,40,7th-8th,Married-civ-spouse,White,>50K,Machine-op-inspct
184,37,Some-college,Married-civ-spouse,White,>50K,Adm-clerical
185,34,HS-grad,Married-civ-spouse,Black,<=50K,Adm-clerical
186,41,Bachelors,Divorced,White,<=50K,Exec-managerial
187,53,Bachelors,Divorced,White,<=50K,?
188,31,Masters,Married-civ-spouse,White,<=50K,Prof-specialty
189,58,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
190,38,Some-college,Divorced,Black,<=50K,Machine-op-inspct
191,24,Some-college,Married-civ-spouse,White,<=50K,Machine-op-inspct
192,41,Bachelors,Married-civ-spouse,Black,<=50K,Craft-repair
193,47,Some-college,Married-civ-spouse,White,<=50K,Tech-support
194,41,Bachelors,Married-civ-spouse,White,<=50K,Tech-support
195,23,5th-6th,Married-civ-spouse,White,<=50K,Transport-moving
196,36,Some-college,Divorced,White,<=50K,Craft-repair
197,40,Masters,Never-married,White,>50K,Exec-managerial
198,35,Masters,Married-civ-spouse,White,>50K,Prof-specialty
199,24,HS-grad,Never-married,White,<=50K,Sales
200,26,Masters,Never-married,White,<=50K,Prof-specialty
201,19,HS-grad,Never-married,White,<=50K,?
202,51,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
203,42,Some-college,Never-married,White,<=50K,Prof-specialty
204,37,HS-grad,Divorced,White,<=50K,Adm-clerical
205,18,11th,Never-married,White,<=50K,Sales
206,36,Bachelors,Married-civ-spouse,Black,>50K,Other-service
207,35,HS-grad,Divorced,White,<=50K,Craft-repair
208,58,HS-grad,Married-civ-spouse,White,>50K,Sales
209,17,11th,Never-married,White,<=50K,Sales
210,44,HS-grad,Married-civ-spouse,Black,<=50K,Transport-moving
211,37,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
212,35,Some-college,Never-married,Amer-Indian-Eskimo,<=50K,Sales
213,60,HS-grad,Married-civ-spouse,Asian-Pac-Islander,<=50K,Craft-repair
214,54,7th-8th,Married-civ-spouse,White,>50K,Machine-op-inspct
215,37,Bachelors,Never-married,Black,>50K,Exec-managerial
216,50,Assoc-acdm,Divorced,White,<=50K,Sales
217,38,Bachelors,Married-civ-spouse,White,<=50K,Sales
218,45,Bachelors,Married-civ-spouse,White,<=50K,Prof-specialty
219,25,10th,Never-married,White,<=50K,Craft-repair
220,31,Some-college,Married-civ-spouse,White,<=50K,Handlers-cleaners
221,64,1st-4th,Divorced,White,<=50K,?
222,90,HS-grad,Never-married,Black,<=50K,Other-service
223,54,HS-grad,Married-civ-spouse,Black,<=50K,Adm-clerical
224,53,Preschool,Never-married,White,<=50K,Machine-op-inspct
225,18,HS-grad,Never-married,White,<=50K,Sales
226,60,10th,Divorced,Amer-Indian-Eskimo,<=50K,?
227,66,HS-grad,Married-civ-spouse,White,<=50K,Farming-fishing
228,75,Assoc-voc,Widowed,White,<=50K,Adm-clerical
229,65,HS-grad,Divorced,White,<=50K,Adm-clerical
230,35,11th,Separated,Black,<=50K,Transport-moving
231,41,HS-grad,Divorced,Black,<=50K,Sales
232,25,Some-college,Never-married,White,<=50K,Adm-clerical
233,33,Some-college,Divorced,Other,<=50K,Craft-repair
234,28,Prof-school,Never-married,White,>50K,Prof-specialty
235,59,HS-grad,Married-civ-spouse,White,<=50K,Other-service
236,40,Some-college,Never-married,White,<=50K,Adm-clerical
237,41,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
238,38,Masters,Married-civ-spouse,White,>50K,Exec-managerial
239,23,HS-grad,Never-married,White,<=50K,Transport-moving
240,40,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
241,41,HS-grad,Married-civ-spouse,White,<=50K,Other-service
242,24,Assoc-acdm,Married-civ-spouse,White,<=50K,Protective-serv
243,20,Some-college,Never-married,White,<=50K,?
244,38,Some-college,Divorced,White,<=50K,Craft-repair
245,56,HS-grad,Married-civ-spouse,White,<=50K,Adm-clerical
246,58,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
247,32,HS-grad,Never-married,White,<=50K,Other-service
248,40,Assoc-acdm,Married-civ-spouse,White,>50K,Tech-support
249,45,HS-grad,Married-civ-spouse,White,<=50K,Adm-clerical
250,41,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
251,42,Bachelors,Married-civ-spouse,Black,<=50K,Adm-clerical
252,59,10th,Widowed,Black,<=50K,Other-service
253,19,Some-college,Never-married,White,<=50K,Adm-clerical
254,58,Some-college,Never-married,White,<=50K,Transport-moving
255,42,HS-grad,Married-civ-spouse,Asian-Pac-Islander,>50K,Farming-fishing
256,20,HS-grad,Never-married,White,<=50K,Other-service
257,32,HS-grad,Separated,White,<=50K,Other-service
258,45,Assoc-voc,Widowed,White,<=50K,Exec-managerial
259,50,7th-8th,Divorced,White,<=50K,Craft-repair
260,36,Bachelors,Divorced,White,<=50K,Prof-specialty
261,45,HS-grad,Married-civ-spouse,White,<=50K,Sales
262,17,11th,Never-married,White,<=50K,Other-service
263,59,Some-college,Married-civ-spouse,White,<=50K,Sales
264,26,11th,Married-civ-spouse,White,<=50K,Craft-repair
265,37,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
266,19,Some-college,Never-married,White,<=50K,?
267,64,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
268,33,Bachelors,Never-married,White,<=50K,Prof-specialty
269,33,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
270,61,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
271,17,9th,Never-married,White,<=50K,Other-service
272,50,Masters,Married-civ-spouse,White,<=50K,Farming-fishing
273,27,Masters,Never-married,White,<=50K,Prof-specialty
274,30,HS-grad,Divorced,White,<=50K,Prof-specialty
275,43,HS-grad,Married-civ-spouse,Black,<=50K,Handlers-cleaners
276,44,Some-college,Married-civ-spouse,White,>50K,Craft-repair
277,35,Some-college,Never-married,White,<=50K,Exec-managerial
278,25,Some-college,Never-married,White,<=50K,Tech-support
279,24,Some-college,Married-civ-spouse,White,>50K,Machine-op-inspct
280,22,Bachelors,Never-married,White,<=50K,Prof-specialty
281,42,Some-college,Married-civ-spouse,White,>50K,Craft-repair
282,34,Assoc-acdm,Divorced,Black,<=50K,Sales
283,60,Bachelors,Divorced,White,<=50K,Prof-specialty
284,21,HS-grad,Never-married,White,<=50K,Handlers-cleaners
285,57,Masters,Married-civ-spouse,White,>50K,Sales
286,41,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
287,50,Some-college,Divorced,White,<=50K,Other-service
288,25,Bachelors,Never-married,White,<=50K,Exec-managerial
289,50,7th-8th,Married-civ-spouse,White,<=50K,Craft-repair
290,36,Bachelors,Married-civ-spouse,White,<=50K,Prof-specialty
291,31,HS-grad,Divorced,White,<=50K,Prof-specialty
292,29,Bachelors,Never-married,White,<=50K,Protective-serv
293,21,Some-college,Never-married,White,<=50K,Sales
294,27,Bachelors,Never-married,Black,<=50K,Tech-support
295,65,HS-grad,Married-civ-spouse,White,<=50K,Transport-moving
296,37,Bachelors,Divorced,White,<=50K,Sales
297,39,Masters,Married-civ-spouse,Asian-Pac-Islander,<=50K,?
298,24,HS-grad,Never-married,White,<=50K,Craft-repair
299,38,HS-grad,Divorced,White,<=50K,Sales
300,48,Bachelors,Married-civ-spouse,White,>50K,Adm-clerical
301,21,Some-college,Never-married,Asian-Pac-Islander,<=50K,Other-service
302,31,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
303,55,HS-grad,Married-civ-spouse,White,>50K,Sales
304,24,Some-college,Married-civ-spouse,Asian-Pac-Islander,<=50K,Adm-clerical
305,43,HS-grad,Divorced,White,<=50K,Adm-clerical
306,26,Assoc-acdm,Never-married,White,<=50K,Tech-support
307,46,Assoc-acdm,Never-married,White,<=50K,Prof-specialty
308,35,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
309,41,Some-college,Married-civ-spouse,White,>50K,Farming-fishing
310,26,Bachelors,Never-married,White,<=50K,Sales
311,34,Masters,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
312,19,Some-college,Never-married,Black,<=50K,?
313,36,Bachelors,Divorced,Black,>50K,Prof-specialty
314,22,Some-college,Never-married,White,<=50K,Sales
315,24,Some-college,Never-married,White,<=50K,Machine-op-inspct
316,77,Some-college,Married-civ-spouse,White,<=50K,Sales
317,22,5th-6th,Married-civ-spouse,White,<=50K,Machine-op-inspct
318,29,Some-college,Never-married,White,<=50K,Tech-support
319,62,HS-grad,Widowed,White,<=50K,Other-service
320,39,HS-grad,Married-civ-spouse,White,<=50K,Exec-managerial
321,43,Some-college,Married-civ-spouse,White,<=50K,Craft-repair
322,35,HS-grad,Divorced,White,<=50K,Transport-moving
323,29,11th,Never-married,White,<=50K,Exec-managerial
324,76,Masters,Married-civ-spouse,White,<=50K,Craft-repair
325,63,HS-grad,Married-civ-spouse,White,<=50K,Farming-fishing
326,23,Assoc-voc,Never-married,Black,<=50K,?
327,43,Some-college,Married-civ-spouse,White,>50K,Prof-specialty
328,58,HS-grad,Married-civ-spouse,White,<=50K,Handlers-cleaners
329,66,HS-grad,Never-married,White,<=50K,Transport-moving
330,41,Some-college,Never-married,Black,<=50K,Craft-repair
331,26,Bachelors,Never-married,White,<=50K,Adm-clerical
332,47,Assoc-voc,Never-married,White,<=50K,Other-service
333,55,10th,Married-civ-spouse,White,<=50K,Adm-clerical
334,53,HS-grad,Married-civ-spouse,White,<=50K,Transport-moving
335,17,5th-6th,Never-married,White,<=50K,Other-service
336,30,HS-grad,Never-married,White,<=50K,Craft-repair
337,49,Masters,Never-married,White,<=50K,Prof-specialty
338,19,HS-grad,Never-married,Black,<=50K,Sales
339,45,HS-grad,Married-civ-spouse,Black,<=50K,Other-service
340,26,Assoc-acdm,Never-married,White,<=50K,Sales
341,38,Assoc-voc,Married-civ-spouse,White,>50K,Craft-repair
342,36,HS-grad,Married-civ-spouse,White,>50K,Protective-serv
343,33,HS-grad,Never-married,White,<=50K,Farming-fishing
344,22,Some-college,Never-married,Black,<=50K,Protective-serv
345,43,Bachelors,Never-married,White,<=50K,Sales
346,67,11th,Married-civ-spouse,White,<=50K,?
347,30,Assoc-voc,Divorced,White,<=50K,?
348,56,Assoc-acdm,Married-spouse-absent,White,<=50K,Other-service
349,31,Bachelors,Never-married,White,<=50K,Prof-specialty
350,33,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
351,26,HS-grad,Married-civ-spouse,White,<=50K,Other-service
352,33,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
353,46,11th,Married-civ-spouse,White,<=50K,Transport-moving
354,59,Bachelors,Married-civ-spouse,White,>50K,?
355,38,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
356,65,11th,Widowed,Other,<=50K,Other-service
357,40,Assoc-voc,Married-civ-spouse,White,>50K,Tech-support
358,42,HS-grad,Married-civ-spouse,White,<=50K,Adm-clerical
359,26,9th,Married-civ-spouse,White,<=50K,Craft-repair
360,36,10th,Married-civ-spouse,White,<=50K,Other-service
361,62,Masters,Married-civ-spouse,White,>50K,Prof-specialty
362,43,Bachelors,Married-civ-spouse,White,<=50K,Transport-moving
363,43,Bachelors,Divorced,White,>50K,Exec-managerial
364,22,HS-grad,Married-spouse-absent,White,<=50K,Sales
365,28,HS-grad,Married-civ-spouse,White,<=50K,Craft-repair
366,56,Some-college,Married-civ-spouse,White,<=50K,Sales
367,22,Assoc-acdm,Never-married,White,<=50K,Sales
368,57,Bachelors,Divorced,White,>50K,Exec-managerial
369,39,HS-grad,Divorced,White,<=50K,Sales
370,26,Some-college,Never-married,White,<=50K,Adm-clerical
371,17,11th,Never-married,White,<=50K,Other-service
372,40,Assoc-voc,Married-civ-spouse,White,>50K,Machine-op-inspct
373,45,HS-grad,Married-civ-spouse,Black,<=50K,Machine-op-inspct
374,44,HS-grad,Never-married,Black,<=50K,Craft-repair
375,20,Some-college,Never-married,White,<=50K,Adm-clerical
376,33,HS-grad,Married-civ-spouse,White,<=50K,Craft-repair
377,23,Some-college,Never-married,White,<=50K,Sales
378,46,Masters,Divorced,White,<=50K,Exec-managerial
379,38,HS-grad,Married-civ-spouse,White,<=50K,Sales
380,54,HS-grad,Divorced,White,<=50K,Transport-moving
381,46,5th-6th,Divorced,White,<=50K,Craft-repair
382,25,Some-college,Married-civ-spouse,White,<=50K,Craft-repair
383,46,Some-college,Divorced,White,<=50K,Sales
384,36,Some-college,Married-civ-spouse,White,<=50K,Transport-moving
385,23,HS-grad,Never-married,White,<=50K,Other-service
386,29,HS-grad,Separated,White,<=50K,Machine-op-inspct
387,44,Some-college,Married-civ-spouse,White,>50K,Adm-clerical
388,19,Some-college,Never-married,White,<=50K,Adm-clerical
389,19,HS-grad,Never-married,White,<=50K,Other-service
390,35,HS-grad,Married-civ-spouse,White,>50K,Other-service
391,27,Bachelors,Never-married,White,<=50K,Craft-repair
392,46,Assoc-acdm,Separated,White,<=50K,Craft-repair
393,34,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
394,34,HS-grad,Never-married,White,<=50K,Other-service
395,44,Some-college,Married-civ-spouse,White,<=50K,Tech-support
396,45,Some-college,Divorced,White,<=50K,Handlers-cleaners
397,20,HS-grad,Never-married,White,<=50K,?
398,25,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
399,52,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
400,20,Some-college,Never-married,White,<=50K,Handlers-cleaners
401,28,Some-college,Never-married,White,<=50K,Other-service
402,50,Bachelors,Married-civ-spouse,White,>50K,Protective-serv
403,34,Assoc-voc,Divorced,White,<=50K,Tech-support
404,28,7th-8th,Married-civ-spouse,Other,<=50K,Handlers-cleaners
405,41,Masters,Married-civ-spouse,White,>50K,Exec-managerial
406,28,HS-grad,Married-civ-spouse,White,<=50K,Adm-clerical
407,46,HS-grad,Married-civ-spouse,White,<=50K,Craft-repair
408,28,Some-college,Married-civ-spouse,White,>50K,?
409,32,Some-college,Married-civ-spouse,White,<=50K,Exec-managerial
410,41,Some-college,Divorced,Black,<=50K,Other-service
411,24,HS-grad,Never-married,Black,<=50K,Handlers-cleaners
412,33,Some-college,Divorced,White,<=50K,Exec-managerial
413,46,Doctorate,Married-civ-spouse,White,>50K,Exec-managerial
414,31,Some-college,Married-civ-spouse,White,<=50K,Machine-op-inspct
415,35,12th,Divorced,White,>50K,Craft-repair
416,52,1st-4th,Married-civ-spouse,White,<=50K,Machine-op-inspct
417,30,11th,Never-married,White,<=50K,Other-service
418,34,11th,Separated,Black,<=50K,Machine-op-inspct
419,34,HS-grad,Divorced,White,<=50K,Transport-moving
420,20,Some-college,Married-civ-spouse,White,<=50K,Sales
421,17,11th,Never-married,White,<=50K,Handlers-cleaners
422,32,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
423,29,HS-grad,Divorced,White,<=50K,Farming-fishing
424,33,10th,Never-married,White,<=50K,Craft-repair
425,25,HS-grad,Married-civ-spouse,White,<=50K,Transport-moving
426,36,Masters,Never-married,White,<=50K,Prof-specialty
427,23,HS-grad,Never-married,White,<=50K,Handlers-cleaners
428,63,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
429,47,Masters,Married-civ-spouse,White,<=50K,Prof-specialty
430,80,HS-grad,Widowed,White,<=50K,?
431,17,11th,Never-married,White,<=50K,?
432,40,Bachelors,Married-spouse-absent,White,<=50K,Prof-specialty
433,30,Assoc-acdm,Married-civ-spouse,White,>50K,Other-service
434,27,Some-college,Never-married,Asian-Pac-Islander,<=50K,Craft-repair
435,33,Masters,Married-civ-spouse,White,>50K,Prof-specialty
436,34,HS-grad,Never-married,Black,<=50K,Farming-fishing
437,34,Some-college,Never-married,White,<=50K,Protective-serv
438,23,Some-college,Married-civ-spouse,White,<=50K,Adm-clerical
439,42,Some-college,Married-civ-spouse,White,<=50K,Adm-clerical
440,29,Bachelors,Never-married,White,<=50K,Prof-specialty
441,45,HS-grad,Divorced,White,<=50K,Adm-clerical
442,24,HS-grad,Never-married,White,<=50K,Armed-Forces
443,44,Some-college,Married-civ-spouse,White,>50K,Prof-specialty
444,27,9th,Never-married,White,<=50K,Craft-repair
445,20,Some-college,Never-married,White,<=50K,Sales
446,44,HS-grad,Widowed,Black,<=50K,Exec-managerial
447,51,HS-grad,Married-civ-spouse,Amer-Indian-Eskimo,<=50K,Craft-repair
448,20,HS-grad,Married-civ-spouse,White,<=50K,Machine-op-inspct
